Date,Emp_ID,Age,Gender,City,Education,Salary,Join_Date,Last_Work_Date,Join_Designation,Designation,Total_Sales_Acquired,Quarterly_Rating
1/12/2017,31,32,Female,C28,Master,65189,4/7/2017,,3.0,3,950940,2
1/11/2017,34,28,Female,C14,Bachelor,65813,31/7/2017,14/11/2017,2.0,2,476010,1
1/5/2017,35,32,Male,C5,Bachelor,68070,7/3/2017,5/5/2017,3.0,3,300000,1
1/8/2017,36,41,Female,C18,Bachelor,32865,1/7/2016,29/7/2017,2.0,2,4277730,2
1/10/2017,37,33,Female,C14,Bachelor,57375,16/5/2017,16/10/2017,2.0,2,650020,1
1/3/2017,38,22,Male,C27,College,13427,6/12/2016,15/3/2017,1.0,1,0,1
1/12/2017,39,32,Male,C26,College,75718,8/8/2017,,2.0,2,2422230,2
1/2/2017,40,32,Male,C15,College,59182,8/11/2016,14/2/2017,2.0,2,0,1
1/12/2017,41,35,Male,C29,Master,92372,4/7/2016,,4.0,4,21755910,2
1/5/2016,42,44,Female,C28,College,45988,20/10/2015,16/5/2016,2.0,2,994690,1
1/2/2016,43,27,Female,C15,College,12906,13/7/2015,20/2/2016,1.0,1,359890,1
1/11/2017,44,28,Male,C17,Master,62100,25/9/2017,24/11/2017,1.0,1,150110,1
1/12/2017,45,35,Male,C8,Master,77544,29/5/2017,,3.0,3,5227340,3
1/3/2016,46,36,Female,C25,Master,42171,28/10/2015,27/2/2016,1.0,1,338290,1
1/12/2017,47,30,Male,C21,Bachelor,28000,9/10/2017,,1.0,1,866270,2
1/1/2017,49,22,Male,C20,College,54270,25/5/2015,21/1/2017,1.0,2,1798800,1
1/2/2016,50,49,Female,C5,College,89367,20/11/2015,20/2/2016,3.0,3,110310,1
1/12/2016,51,34,Male,C14,College,131347,22/5/2014,23/12/2016,4.0,4,3190010,2
1/12/2017,52,37,Male,C19,College,48687,28/6/2017,,3.0,3,1852590,2
1/12/2017,54,35,Male,C29,Bachelor,127826,11/7/2016,,4.0,5,33823290,1
1/3/2017,55,30,Female,C8,College,29985,21/11/2016,15/3/2017,1.0,1,0,1
1/12/2017,56,36,Female,C19,Master,80223,20/7/2015,,1.0,1,11723470,4
1/7/2017,57,38,Female,C1,Bachelor,84318,26/7/2014,21/7/2017,1.0,2,22791310,1
1/1/2016,58,41,Male,C4,College,57987,15/10/2015,25/1/2016,2.0,2,0,1
1/3/2016,59,35,Female,C18,Bachelor,31644,6/1/2016,28/3/2016,1.0,1,134660,1
1/12/2017,60,48,Female,C20,College,89592,17/9/2013,,1.0,4,49225520,2
1/3/2016,61,32,Male,C11,Master,19818,4/5/2015,17/3/2016,1.0,1,-443176,1
1/12/2017,62,27,Male,C9,Master,62376,28/11/2017,,1.0,1,0,1
1/12/2017,63,28,Male,C6,College,92925,30/4/2013,,1.0,3,12293120,2
1/6/2017,64,33,Male,C27,Master,66502,31/1/2017,19/6/2017,2.0,2,193940,1
1/6/2017,65,30,Female,C7,Bachelor,69539,31/7/2015,16/6/2017,2.0,2,11718580,2
1/2/2017,66,27,Female,C4,Master,100413,21/1/2017,,3.0,3,0,1
1/12/2017,67,41,Male,C28,Master,65982,4/1/2016,,1.0,2,12543500,3
1/12/2017,68,32,Male,C29,College,79288,18/10/2012,,1.0,3,27309820,3
1/9/2017,69,32,Female,C7,Bachelor,66818,14/11/2016,12/9/2017,,2,4640080,1
1/1/2016,70,35,Male,C20,Bachelor,19235,8/10/2015,29/1/2016,1.0,1,0,1
1/2/2016,71,43,Male,C20,Master,54103,25/5/2015,15/2/2016,3.0,3,188780,1
1/12/2017,72,28,Male,C14,Master,42242,18/10/2017,,2.0,2,193580,1
1/10/2017,74,35,Female,C5,Master,59216,1/5/2017,24/10/2017,2.0,2,592270,1
1/12/2017,75,25,Female,C18,Master,39884,21/7/2017,13/12/2017,2.0,2,2365930,2
1/12/2017,77,34,Male,C3,Master,63918,18/5/2015,,1.0,2,17959920,3
1/12/2017,78,37,Male,C21,College,105946,16/9/2015,,2.0,4,43531510,2
1/8/2016,79,32,Male,C14,Bachelor,114648,9/7/2016,9/8/2016,4.0,4,0,1
1/12/2017,80,29,Female,C7,College,56687,2/10/2017,,,2,153300,1
1/10/2016,81,39,Male,C9,Master,77177,12/6/2015,4/10/2016,1.0,2,3133680,1
1/8/2017,82,37,Female,C24,Bachelor,89013,11/4/2017,29/7/2017,3.0,3,0,1
1/6/2017,83,34,Male,C23,Master,115159,29/8/2016,7/6/2017,3.0,3,750000,1
1/9/2017,84,42,Male,C16,College,25950,4/7/2016,4/9/2017,1.0,1,8688020,2
1/12/2017,85,25,Male,C22,Master,49509,28/9/2017,,1.0,1,0,1
1/1/2016,86,35,Male,C2,Master,49510,28/5/2015,27/1/2016,1.0,1,0,1
1/12/2017,87,37,Male,C6,Bachelor,119341,31/8/2016,,3.0,3,36029220,4
1/6/2016,88,45,Female,C3,College,62298,6/1/2015,3/6/2016,2.0,2,3248870,1
1/8/2017,89,28,Male,C2,Bachelor,58977,30/5/2016,29/7/2017,2.0,2,6131430,1
1/3/2017,90,33,Male,C22,College,29408,11/11/2016,10/3/2017,2.0,2,543640,1
1/12/2016,91,31,Male,C21,College,22731,,15/12/2016,2.0,2,200000,1
1/2/2016,93,30,Male,C17,Master,39527,14/7/2015,3/2/2016,2.0,2,1220120,2
1/3/2017,95,29,Female,C14,Master,60874,30/1/2017,9/3/2017,3.0,3,0,1
1/11/2017,96,35,Male,C12,Master,64953,17/7/2017,27/11/2017,3.0,3,0,1
1/12/2017,97,40,Female,C2,Master,80771,3/10/2017,,,3,350000,1
1/12/2017,98,25,Male,C16,College,63774,15/8/2016,25/12/2017,2.0,3,21415440,2
1/8/2017,99,30,Male,C23,College,38068,24/3/2017,29/7/2017,2.0,2,0,1
1/5/2016,101,33,Male,C10,College,38945,3/12/2014,3/5/2016,1.0,1,1759840,1
1/3/2016,102,22,Female,C12,College,42270,5/1/2016,21/3/2016,1.0,1,0,1
1/7/2017,103,26,Female,C28,Bachelor,68913,30/11/2016,4/7/2017,2.0,2,544380,1
1/12/2017,104,30,Female,C23,Bachelor,60332,16/8/2017,,,2,1252320,2
1/1/2016,105,38,Male,C4,College,71081,18/9/2015,6/1/2016,1.0,1,0,1
1/8/2016,106,34,Female,C22,College,57671,27/5/2013,2/8/2016,1.0,3,4504880,2
1/11/2017,107,35,Male,C9,Master,102142,12/12/2016,27/11/2017,3.0,3,4545450,1
1/6/2017,108,38,Male,C22,Master,121259,9/1/2017,2/6/2017,3.0,3,864350,1
1/12/2017,109,36,Female,C6,College,33927,14/4/2017,,1.0,1,1927920,2
1/2/2017,110,32,Female,C16,Bachelor,32663,19/9/2016,17/2/2017,1.0,1,251810,1
1/9/2016,111,52,Male,C13,Bachelor,73769,,17/9/2016,2.0,3,2167840,1
1/12/2017,112,46,Male,C29,Bachelor,50466,30/6/2015,,1.0,1,13121470,3
1/10/2016,113,42,Female,C10,College,47160,23/6/2016,17/10/2016,1.0,1,670440,1
1/12/2017,114,32,Female,C19,College,89456,28/9/2017,,3.0,3,0,1
1/12/2017,115,46,Male,C1,Bachelor,31752,23/7/2012,,1.0,3,12674940,2
1/9/2016,116,22,Male,C11,College,16477,4/12/2015,23/9/2016,1.0,1,1116990,1
1/12/2017,117,47,Female,C1,Bachelor,144978,28/1/2013,,1.0,5,40152720,2
1/9/2017,118,42,Female,C27,College,67904,10/3/2017,15/9/2017,3.0,3,150700,1
1/3/2017,119,32,Female,C29,Bachelor,71000,16/11/2016,24/3/2017,3.0,3,547802,1
1/4/2017,120,27,Male,C14,Master,114258,28/9/2016,29/3/2017,3.0,3,0,1
1/5/2017,121,33,Female,C13,Master,58885,7/3/2017,24/5/2017,3.0,3,0,1
1/12/2017,122,27,Male,C26,College,57406,7/8/2017,,2.0,2,605760,2
1/9/2016,123,44,Male,C24,Bachelor,41401,7/10/2015,23/9/2016,1.0,1,2184160,1
1/7/2016,125,33,Female,C10,Master,30847,29/7/2015,21/7/2016,1.0,1,1221780,1
1/3/2016,127,33,Male,C28,Bachelor,84085,4/5/2015,1/3/2016,3.0,3,-70000,1
1/12/2017,129,38,Female,C6,Bachelor,60708,,,2.0,2,436190,1
1/8/2017,130,38,Male,C28,Bachelor,39990,17/1/2017,29/7/2017,2.0,2,2928710,1
1/11/2016,131,38,Female,C19,Bachelor,79086,21/10/2010,11/11/2016,2.0,3,2620360,1
1/7/2017,132,27,Male,C20,Master,43165,1/5/2017,20/7/2017,2.0,2,0,1
1/5/2016,133,44,Female,C23,Master,46858,30/7/2015,23/5/2016,1.0,1,873110,1
1/12/2017,134,32,Male,C27,College,76904,12/10/2017,,,3,190550,1
1/12/2017,135,28,Male,C22,College,99891,15/9/2017,,3.0,3,1517680,2
1/1/2016,136,37,Female,C10,College,47009,2/10/2015,5/1/2016,1.0,1,0,1
1/12/2017,137,42,Male,C28,College,33459,5/6/2017,,2.0,2,6570070,4
1/1/2016,138,48,Male,C21,Master,34827,26/1/2015,6/1/2016,1.0,1,0,1
1/12/2016,139,32,Male,C14,Bachelor,51850,31/10/2016,5/12/2016,2.0,2,0,1
1/12/2017,140,38,Male,C9,Bachelor,72253,29/4/2013,,1.0,2,13939940,3
1/11/2017,141,35,Male,C22,Bachelor,65901,10/7/2017,31/10/2017,2.0,2,0,1
1/2/2016,142,24,Male,C16,Bachelor,29807,10/6/2015,8/2/2016,1.0,1,122040,1
1/3/2016,143,40,Male,C12,Master,24150,1/5/2015,27/2/2016,1.0,1,340560,1
1/11/2016,144,27,Male,C28,Master,21933,19/8/2016,24/11/2016,1.0,1,0,1
1/6/2017,145,35,Male,C13,Bachelor,75112,13/2/2017,22/6/2017,3.0,3,1847280,3
1/10/2016,147,36,Male,C9,Bachelor,85172,20/7/2016,1/10/2016,2.0,2,0,1
1/12/2017,148,41,Male,C15,College,45288,11/12/2017,,2.0,2,0,1
1/7/2017,149,34,Female,C20,College,61913,17/4/2017,22/7/2017,3.0,3,0,1
1/12/2017,150,39,Male,C17,College,29013,22/4/2013,,1.0,3,24273480,3
1/1/2017,151,30,Male,C15,College,89602,15/9/2016,21/1/2017,4.0,4,950170,1
1/6/2016,152,31,Male,C17,College,31547,3/6/2015,15/6/2016,1.0,2,1466022,2
1/11/2016,153,38,Female,C22,Bachelor,148588,14/10/2015,19/11/2016,5.0,5,1472800,1
1/10/2017,154,30,Male,C21,Bachelor,47211,3/7/2017,18/10/2017,1.0,1,0,1
1/2/2016,155,27,Male,C26,Bachelor,118363,10/9/2014,26/2/2016,2.0,3,1602380,2
1/3/2016,156,41,Female,C9,Bachelor,41046,1/7/2015,29/2/2016,1.0,1,0,1
1/9/2017,158,26,Male,C22,Bachelor,45832,3/7/2017,23/9/2017,1.0,1,0,1
1/2/2017,159,44,Female,C4,Bachelor,30121,21/7/2014,17/2/2017,1.0,1,6278140,1
1/4/2016,161,38,Male,C25,Master,35793,19/6/2015,29/3/2016,1.0,1,0,1
1/1/2017,162,36,Male,C2,Bachelor,100064,31/10/2016,30/12/2016,3.0,3,0,1
1/9/2017,163,29,Male,C6,College,25731,,27/9/2017,1.0,1,0,1
1/11/2017,164,37,Female,C26,College,106171,17/6/2016,27/11/2017,1.0,4,10395250,1
1/1/2016,165,25,Female,C21,Master,76307,16/10/2015,15/1/2016,2.0,2,0,1
1/5/2016,167,26,Male,C18,Bachelor,35283,2/3/2015,6/5/2016,1.0,1,1154620,1
1/12/2017,168,26,Male,C15,Master,33057,7/10/2016,,2.0,2,12434534,3
1/12/2016,169,34,Male,C14,Master,38409,1/5/2015,29/11/2016,2.0,2,5239360,1
1/11/2016,170,35,Male,C7,Master,91458,4/7/2016,23/11/2016,3.0,3,1987680,1
1/7/2016,171,44,Female,C23,Bachelor,56242,24/8/2015,21/7/2016,2.0,2,3466180,1
1/7/2016,172,41,Female,C6,Master,101395,7/11/2014,29/6/2016,,3,5365850,1
1/12/2017,173,39,Male,C28,College,56174,13/6/2011,,,3,19866290,3
1/5/2016,174,39,Female,C21,Bachelor,22065,27/7/2015,4/5/2016,1.0,1,2970500,1
1/5/2016,175,31,Male,C13,College,27889,22/9/2015,4/5/2016,1.0,1,19580,1
1/8/2017,176,34,Male,C15,College,21276,4/5/2017,29/7/2017,1.0,1,0,1
1/6/2016,177,31,Male,C4,Bachelor,43053,14/12/2015,10/6/2016,1.0,1,600000,1
1/9/2016,178,23,Female,C7,College,36637,11/9/2015,26/9/2016,2.0,2,550000,1
1/5/2016,179,26,Female,C11,Master,24490,26/5/2015,4/5/2016,1.0,1,1616780,1
1/11/2016,180,34,Male,C29,Bachelor,95694,26/6/2015,15/11/2016,2.0,4,0,1
1/12/2017,181,30,Female,C17,Master,26926,6/11/2017,,3.0,3,0,1
1/7/2017,182,32,Male,C22,Master,25832,13/1/2017,4/7/2017,1.0,1,877947,1
1/5/2017,183,26,Female,C23,Master,43263,3/11/2016,25/5/2017,1.0,1,903800,1
1/7/2017,184,34,Female,C21,Master,62199,12/4/2017,5/7/2017,2.0,2,903160,1
1/8/2016,185,29,Male,C1,College,82120,30/11/2013,18/8/2016,1.0,3,2416570,1
1/3/2017,187,34,Male,C26,Bachelor,20922,2/11/2016,15/3/2017,2.0,2,151600,1
1/12/2017,188,34,Male,C12,College,36483,15/11/2016,,2.0,2,2516690,1
1/11/2016,190,36,Female,C1,College,108051,7/11/2015,2/11/2016,4.0,4,121980,1
1/12/2017,191,27,Female,C11,Master,63380,19/12/2016,,3.0,3,10666090,3
1/12/2017,192,37,Female,C9,Bachelor,66952,10/4/2017,,3.0,3,2412240,1
1/2/2017,193,47,Male,C26,Master,59084,7/5/2015,22/2/2017,1.0,2,9983020,1
1/10/2017,194,30,Male,C8,College,54074,28/6/2017,12/10/2017,2.0,2,2000000,1
1/12/2017,195,27,Male,C18,College,19419,28/9/2017,28/11/2017,1.0,1,0,1
1/12/2017,196,44,Male,C14,Bachelor,75001,29/5/2017,26/12/2017,3.0,3,1150720,2
1/9/2016,197,41,Male,C25,Bachelor,94594,,23/9/2016,2.0,3,1985150,1
1/12/2017,199,30,Male,C14,College,87902,,,1.0,3,31533700,4
1/6/2017,200,46,Male,C8,Bachelor,66707,28/11/2016,27/6/2017,3.0,3,0,1
1/9/2016,201,38,Female,C5,College,42260,30/5/2016,7/9/2016,3.0,3,0,1
1/12/2017,202,33,Male,C28,College,28921,30/10/2017,,1.0,1,593300,2
1/11/2017,203,34,Female,C4,Master,84713,4/7/2016,13/11/2017,3.0,3,2816440,1
1/4/2016,204,31,Female,C14,College,68151,5/12/2014,29/3/2016,1.0,2,337230,1
1/12/2017,205,39,Male,C12,College,15826,20/12/2017,,1.0,1,0,1
1/12/2017,206,26,Female,C10,College,12968,28/9/2017,,1.0,1,0,1
1/4/2016,207,32,Male,C29,College,61894,9/5/2015,16/4/2016,3.0,3,3209720,1
1/5/2016,208,31,Male,C16,Master,31657,6/1/2016,24/5/2016,1.0,1,376780,1
1/12/2017,210,38,Male,C29,Master,64583,3/5/2017,,3.0,3,802540,1
1/8/2017,211,34,Female,C6,Master,81730,5/6/2017,29/7/2017,3.0,3,0,1
1/12/2017,213,37,Male,C24,College,59947,5/9/2015,,2.0,2,12182590,1
1/5/2017,215,26,Female,C15,Bachelor,17307,19/7/2016,17/5/2017,1.0,1,1742410,1
1/7/2017,216,30,Male,C20,Bachelor,86340,4/7/2016,25/7/2017,2.0,2,7020890,1
1/6/2016,217,32,Male,C10,Bachelor,27328,20/5/2013,24/6/2016,1.0,2,5854230,1
1/12/2017,218,25,Male,C21,College,27979,31/7/2017,,1.0,1,734620,2
1/11/2016,219,36,Male,C5,College,51657,11/5/2015,11/11/2016,2.0,2,2805350,1
1/10/2016,220,38,Female,C18,Bachelor,107539,20/11/2010,14/10/2016,2.0,3,2784450,1
1/1/2016,221,31,Male,C3,College,13051,29/12/2015,19/1/2016,1.0,1,0,1
1/10/2016,222,26,Male,C2,College,92753,12/9/2016,8/10/2016,3.0,3,0,1
1/4/2016,223,25,Male,C20,College,59108,24/8/2015,13/4/2016,2.0,2,1559910,1
1/12/2017,225,32,Female,C14,College,44792,13/7/2017,,3.0,3,2242270,3
1/5/2017,226,36,Female,C18,Bachelor,55528,9/11/2016,2/5/2017,2.0,2,1203504,1
1/12/2017,227,45,Female,C29,Master,61912,1/5/2017,12/12/2017,3.0,3,7237950,1
1/5/2017,228,45,Male,C6,Master,53385,25/7/2013,1/5/2017,1.0,1,10390120,1
1/4/2017,229,43,Male,C28,College,104995,3/8/2016,10/4/2017,4.0,4,11947410,2
1/1/2017,230,34,Male,C25,College,44359,13/10/2015,30/12/2016,2.0,2,5824480,1
1/1/2016,231,32,Male,C5,Bachelor,21354,22/10/2015,5/1/2016,1.0,1,0,1
1/1/2016,232,34,Male,C15,Master,23185,3/7/2015,21/1/2016,1.0,1,0,1
1/12/2017,233,36,Female,C27,Bachelor,139139,28/6/2017,,3.0,3,500000,1
1/12/2017,234,27,Female,C23,Bachelor,52616,,,2.0,2,2800740,2
1/2/2016,235,39,Female,C16,College,37873,8/10/2015,11/2/2016,1.0,1,0,1
1/12/2017,237,33,Male,C10,College,75626,4/9/2017,,3.0,3,181070,1
1/6/2017,238,32,Male,C20,College,41889,14/1/2017,27/6/2017,,2,495310,1
1/1/2016,241,24,Male,C1,College,33901,12/11/2015,6/1/2016,1.0,1,0,1
1/1/2017,242,28,Male,C21,College,11236,3/11/2016,7/1/2017,,1,0,1
1/12/2017,243,26,Male,C4,Master,60228,14/8/2017,,3.0,3,483150,1
1/10/2016,244,40,Male,C20,Master,37346,4/5/2015,4/10/2016,1.0,2,3095340,1
1/12/2017,245,38,Male,C23,Master,77903,11/9/2017,15/12/2017,2.0,2,0,1
1/9/2016,246,42,Male,C10,Bachelor,64128,13/12/2013,14/9/2016,1.0,2,2278190,1
1/10/2017,247,39,Female,C4,College,27294,14/6/2017,23/10/2017,2.0,2,619900,1
1/12/2017,252,37,Male,C24,Master,78381,16/6/2015,,1.0,3,28348090,4
1/1/2016,256,21,Male,C10,College,25172,19/10/2015,22/1/2016,1.0,1,0,1
1/2/2017,257,30,Male,C29,Bachelor,31655,14/12/2016,8/2/2017,3.0,3,150230,1
1/12/2017,258,29,Male,C13,College,25459,3/5/2017,,1.0,1,2658050,2
1/1/2017,260,29,Male,C24,Bachelor,47864,31/10/2016,6/1/2017,1.0,1,0,1
1/4/2017,261,42,Female,C20,Master,90988,27/7/2015,12/4/2017,3.0,3,7912770,1
1/7/2016,262,28,Female,C2,Bachelor,24862,16/1/2016,16/7/2016,2.0,2,1200020,1
1/12/2017,263,24,Male,C6,College,19170,12/10/2017,,1.0,1,289500,1
1/12/2017,264,25,Male,C11,Master,49497,18/12/2017,18/12/2017,1.0,1,0,1
1/12/2017,265,34,Male,C3,Bachelor,40381,30/5/2017,,1.0,1,1706780,2
1/6/2016,266,43,Male,C16,Bachelor,40102,17/10/2014,8/6/2016,1.0,2,2558650,1
1/7/2017,267,36,Male,C5,College,89200,7/10/2016,14/7/2017,3.0,3,3643890,2
1/8/2017,268,31,Female,C6,Bachelor,54352,1/6/2016,29/7/2017,1.0,1,4024340,1
1/8/2017,270,36,Male,C11,Bachelor,76336,4/5/2017,29/7/2017,3.0,3,260000,1
1/12/2017,271,38,Male,C29,Master,134529,29/5/2017,,4.0,4,19169110,3
1/12/2017,272,37,Male,C5,Bachelor,64901,30/5/2016,,2.0,2,8992830,3
1/12/2017,273,29,Male,C16,Bachelor,40259,30/8/2017,,1.0,1,461970,1
1/12/2017,274,39,Male,C7,Bachelor,53224,20/12/2017,,2.0,2,0,1
1/12/2017,275,41,Male,C20,College,97226,2/5/2013,,1.0,4,33697790,3
1/12/2017,276,30,Female,C23,Bachelor,107495,30/6/2017,,3.0,3,965680,2
1/3/2016,278,34,Male,C2,College,52191,21/10/2013,17/3/2016,1.0,1,529010,1
1/7/2017,279,29,Female,C2,College,41800,2/11/2016,3/7/2017,1.0,1,2736130,1
1/2/2017,280,34,Female,C6,Master,108013,12/10/2010,11/2/2017,4.0,4,6751230,1
1/12/2017,281,43,Female,C20,Bachelor,75416,10/10/2017,,3.0,3,246810,1
1/12/2017,282,29,Female,C21,College,57339,16/8/2017,29/11/2017,2.0,2,0,1
1/12/2017,283,27,Female,C29,Master,57420,10/11/2017,,2.0,2,0,1
1/2/2017,284,34,Male,C20,Master,42189,3/1/2017,13/2/2017,2.0,2,0,1
1/11/2017,286,30,Female,C24,Bachelor,70781,13/7/2017,7/11/2017,2.0,2,150400,1
1/9/2017,287,30,Female,C7,College,13605,22/5/2017,4/9/2017,1.0,1,0,1
1/12/2017,288,41,Female,C17,College,62901,18/12/2017,,2.0,2,0,1
1/12/2017,289,29,Male,C3,College,51110,18/7/2017,,2.0,2,0,1
1/11/2016,290,25,Female,C5,Bachelor,66842,28/7/2016,29/10/2016,1.0,1,0,1
1/5/2016,291,27,Female,C20,Master,49695,12/2/2015,14/5/2016,2.0,2,1273240,1
1/8/2017,292,33,Female,C29,Master,81858,5/7/2017,29/7/2017,3.0,3,0,1
1/3/2016,293,28,Female,C11,Bachelor,45981,2/12/2013,23/3/2016,1.0,1,373410,1
1/12/2017,294,36,Male,C21,College,13793,10/10/2017,,1.0,1,153360,1
1/6/2016,295,29,Female,C8,College,35983,5/1/2016,24/6/2016,2.0,2,233883,1
1/12/2017,296,32,Female,C20,Bachelor,65094,10/6/2015,,1.0,2,29901450,4
1/12/2017,297,38,Male,C8,Master,109473,19/12/2017,,3.0,3,0,1
1/4/2017,298,39,Male,C20,College,70753,12/9/2016,17/4/2017,3.0,3,1501770,1
1/11/2016,299,36,Female,C28,College,24571,20/8/2016,31/10/2016,1.0,1,0,1
1/5/2016,303,42,Male,C28,Bachelor,78645,15/10/2012,29/4/2016,1.0,2,0,1
1/2/2016,305,24,Male,C9,College,20176,26/8/2015,8/2/2016,1.0,1,0,1
1/12/2017,306,31,Female,C4,College,51731,29/11/2017,,2.0,2,0,1
1/10/2017,307,39,Male,C26,College,88207,,26/10/2017,2.0,4,56839380,1
1/12/2017,308,32,Male,C5,Master,188418,15/8/2011,,2.0,5,58024490,2
1/12/2017,309,30,Female,C5,Bachelor,77597,11/12/2017,,3.0,3,0,1
1/12/2017,310,27,Female,C3,Master,58439,,,1.0,1,0,1
1/9/2017,312,34,Male,C16,College,26047,18/3/2017,25/9/2017,2.0,2,0,1
1/9/2017,313,31,Female,C15,College,96603,18/4/2017,20/9/2017,3.0,3,150050,1
1/10/2017,315,29,Female,C9,Master,50281,12/9/2017,5/10/2017,3.0,3,0,1
1/2/2016,316,47,Male,C12,Master,42592,,15/2/2016,1.0,1,250000,1
1/8/2017,317,35,Male,C5,Bachelor,59936,17/6/2016,29/7/2017,2.0,2,5195840,1
1/1/2017,318,33,Female,C3,Bachelor,37890,18/10/2016,20/1/2017,1.0,1,0,1
1/3/2017,319,30,Male,C27,Master,51819,2/1/2017,9/3/2017,3.0,3,0,1
1/12/2017,320,28,Female,C20,College,63126,13/7/2015,,1.0,2,30153680,4
1/4/2017,321,27,Female,C25,Bachelor,29869,31/10/2016,12/4/2017,1.0,1,242500,1
1/11/2016,322,41,Female,C6,College,57245,15/6/2016,23/11/2016,2.0,2,400000,1
1/12/2017,323,30,Female,C29,Master,64558,6/1/2017,,2.0,2,3159800,2
1/12/2017,324,31,Male,C26,Bachelor,70702,3/7/2017,,3.0,3,4600000,3
1/8/2016,325,26,Male,C15,Master,50739,30/11/2015,29/7/2016,1.0,1,109020,1
1/7/2017,326,24,Male,C28,Master,69454,21/4/2017,11/7/2017,2.0,2,194000,1
1/4/2016,327,38,Male,C3,Bachelor,26658,29/5/2015,21/4/2016,,1,841620,1
1/8/2016,328,35,Female,C28,Bachelor,54816,11/12/2015,25/8/2016,3.0,3,200000,1
1/12/2017,329,44,Female,C11,Bachelor,133752,19/7/2012,,1.0,3,14717150,2
1/2/2016,330,39,Female,C15,Bachelor,35694,24/9/2015,3/2/2016,1.0,1,0,1
1/12/2017,331,35,Male,C25,Master,71154,27/9/2017,,3.0,3,0,1
1/3/2016,332,29,Male,C24,Master,51152,3/2/2016,1/3/2016,1.0,1,134360,1
1/5/2016,333,44,Female,C6,Bachelor,46543,19/9/2015,30/4/2016,1.0,1,1296960,1
1/5/2016,334,29,Female,C9,College,58812,7/1/2016,11/5/2016,2.0,2,323290,1
1/12/2017,335,41,Female,C11,Master,94685,17/11/2017,,3.0,3,0,1
1/8/2017,336,47,Male,C10,Master,140769,10/2/2015,29/7/2017,2.0,4,9577580,1
1/3/2016,337,45,Female,C8,Master,62135,,3/3/2016,2.0,2,0,1
1/5/2017,339,32,Male,C17,Bachelor,55937,13/6/2016,12/5/2017,3.0,3,1827320,1
1/3/2016,340,36,Male,C16,College,34664,8/8/2015,23/3/2016,1.0,1,544560,1
1/12/2017,341,40,Male,C11,Bachelor,49592,24/12/2016,,2.0,2,3946480,2
1/1/2017,342,45,Male,C18,Master,83084,9/7/2015,20/1/2017,3.0,3,11082000,1
1/5/2017,343,24,Male,C4,Bachelor,26563,16/1/2017,5/5/2017,1.0,1,150440,1
1/3/2017,344,28,Male,C2,Bachelor,55938,,15/3/2017,3.0,3,0,1
1/12/2017,345,35,Female,C27,Bachelor,35284,31/7/2017,,,2,834890,2
1/4/2017,346,31,Female,C2,Bachelor,92158,2/12/2016,30/3/2017,3.0,3,1072230,1
1/2/2016,347,36,Female,C15,College,57044,5/1/2015,18/2/2016,2.0,3,0,1
1/12/2017,348,28,Female,C13,Bachelor,71326,1/9/2017,,2.0,2,0,1
1/10/2016,349,33,Male,C26,Master,56317,27/5/2016,17/10/2016,2.0,2,116400,1
1/2/2016,350,33,Male,C10,Master,55441,3/12/2015,8/2/2016,2.0,2,0,1
